gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os12g0127400	F-box protein 637	12	1315703	1317344	-	1223	protein_coding	Cyclin-like F-box domain containing protein	F-box
Os12g0138800	-	12	1882578	1888258	+	3358	protein_coding	Six-bladed beta-propeller, TolB-like domain containing protein	Str_synth
Os04g0376400	-	4	18392642	18394466	-	1741	protein_coding	Glycoside hydrolase, family 18, catalytic domain domain containing protein	-
Os01g0866000	-	1	37505155	37506089	+	935	protein_coding	Similar to E3 ubiquitin ligase EL5 (EC 6.3.2.-)	-
Os12g0616000	-	12	26131005	26133878	-	2258	protein_coding	Similar to Kinesin-like protein KIFC3	Kinesin
Os02g0816300	-	2	34982175	34989869	+	3896	protein_coding	Armadillo-type fold domain containing protein	-
Os03g0616500	-	3	23353421	23360735	-	3620	protein_coding	Similar to HEAT repeat family protein	-
ENSRNA049473047	snoR31_Z110_Z27	3	31186625	31186720	-	96	snoRNA	Small nucleolar RNA snoR31/Z110/Z27	-
Os09g0427100	-	9	15502457	15508094	+	1358	protein_coding	Conserved hypothetical protein	-
Os01g0228901	-	1	7115785	7124100	-	3796	protein_coding	Hypothetical gene	Myb_DNA-binding
Os05g0125100	-	5	1440997	1441914	-	918	protein_coding	Conserved hypothetical protein	-
Os09g0101800	-	9	286246	297374	-	3486	protein_coding	Quinoprotein amine dehydrogenase, beta chain-like domain containing protein	FYRC
Os05g0454200	BRIGHT GREEN LEAF	5	22293498	22297207	+	2217	protein_coding	Guanine nucleotide exchange factors for Rop, Activation of small cuticular papillae development on leaf epidermi	DUF315
Os08g0466050	-	8	22887607	22893050	+	3087	protein_coding	Similar to DNA polymerase epsilon subunit 2	-
Os07g0572500	-	7	23112171	23113903	+	1582	protein_coding	Conserved hypothetical protein	DUF295
Os04g0177300	-	4	5254429	5260631	-	3801	protein_coding	HIP116, Rad5p N-terminal domain containing protein	-
Os04g0337500	-	4	15888816	15893913	+	1446	protein_coding	Aldo/keto reductase family protein	Aldo_ket_red
Os04g0604800	XYLOGLUCAN ENDOTRANSGLUCOSYDASE/HYDROLASE 7	4	30518927	30520167	+	938	protein_coding	Similar to OSIGBa0118P15.11 protein	-
Os02g0159850	-	2	3233676	3233934	-	259	protein_coding	Similar to predicted protein	-
Os02g0181700	-	2	4558797	4559941	+	1057	protein_coding	Conserved hypothetical protein	-
Os09g0522100	ETHYLENE RESPONSE FACTOR 133	9	20399458	20400198	-	741	protein_coding	Similar to Dehydration-responsive element-binding protein 1H	AP2
Os04g0462200	GPI-anchored non-specific lipid transfer protein 11, type G nsLTP 11, type G non-specific lipid transfer protein 11	4	23093153	23094065	+	766	protein_coding	Bifunctional inhibitor/plant lipid transfer protein/seed storage domain containing protein	-
Os07g0228400	F-box protein 352	7	7165550	7167725	-	2176	protein_coding	Cyclin-like F-box domain containing protein	-
Os06g0324400	LATE EMBRYOGENESIS ABUNDANT PROTEIN 3	6	12665605	12666203	-	522	protein_coding	Late embryogenesis abundant (LEA) group 1 family protein	-
