gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os04g0431700	-	4	21396879	21401829	+	3726	protein_coding	Exocyst-localized protein, Resistance to planthoppers, (Nipponbare: BPH-susceptible	-
Os05g0409500	USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTER 9	5	19997585	19999679	-	1680	protein_coding	Similar to MtN21 protein	DUF6
Os11g0118300	-	11	823449	825737	-	2039	protein_coding	Similar to RPT2-like protein	-
Os08g0449200	-	8	21943743	21946408	-	463	protein_coding	Hypothetical conserved gene	-
Os05g0428400	-	5	21006679	21009677	-	1132	protein_coding	Rossmann-like alpha/beta/alpha sandwich fold domain containing protein	Usp
Os06g0165900	-	6	3316737	3317378	+	642	protein_coding	Conserved hypothetical protein	-
Os10g0491450	-	10	18657752	18658090	-	339	protein_coding	Conserved hypothetical protein	-
Os04g0538900	GLYOXALASE I-5	4	26975483	26976420	+	682	protein_coding	Glyoxalase/bleomycin resistance protein/dioxygenase domain containing protein	Glyoxalase
Os02g0122700	SET protein 7	2	1190846	1192461	+	876	protein_coding	Similar to SET domain protein	PHD
Os10g0194400	-	10	6555886	6556270	+	385	protein_coding	Hypothetical gene	-
Os09g0433400	-	9	15912453	15912912	-	460	protein_coding	Hypothetical gene	-
Os03g0168700	SET protein 14	3	3705167	3706777	-	1611	protein_coding	SET domain containing protein	SET
Os03g0558700	-	3	19925378	19926319	-	942	protein_coding	Conserved hypothetical protein	-
Os01g0248000	-	1	8152795	8153685	-	891	protein_coding	Stigma-specific protein Stig1 family protein	-
Os02g0690000	-	2	28318735	28319280	-	546	protein_coding	Conserved hypothetical protein	-
Os03g0227700	DWARF4	3	6737549	6744486	+	1930	protein_coding	Cytochrome P450 90B2, Brassinosteroid C-22 hydroxylase, Brassinosteroids biosynthesi	p450
Os07g0576600	-	7	23328122	23329043	+	922	protein_coding	Conserved hypothetical protein	-
Os11g0463700	-	11	15851159	15852070	-	825	protein_coding	Penicillin-binding protein, transpeptidase fold domain containing protein	-
Os11g0605900	-	11	23375538	23378661	-	3124	protein_coding	Conserved hypothetical protein	NB-ARC
Os06g0653000	glossy1 homolog, Glossy1-homologous gene 3	6	26736608	26744116	+	2232	protein_coding	Glossy1(GL1) homolog, Cuticular wax biosynthesis, Drought toleranc	-
Os01g0152600	RECEPTOR-LIKE CYTOPLASMIC KINASE 24	1	2830325	2833623	+	3153	protein_coding	Protein kinase, catalytic domain domain containing protein	Pkinase
Os07g0201300	-	7	5463119	5464797	+	1071	protein_coding	UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein	-
Os09g0320201	-	9	9207264	9211576	-	1767	protein_coding	Hypothetical protein	-
Os02g0109501	Jumonji 719	2	513740	517148	-	1797	protein_coding	Hypothetical conserved gene	-
Os04g0107700	-	4	471138	472885	-	1377	protein_coding	Peptidase C1A, papain family protein	Peptidase_C1
Os02g0198700	Subtilisin 12, SUBTILISIN 12	2	5530016	5536941	-	2710	protein_coding	Similar to Subtilisin-like protease	Peptidase_S8
Os09g0573000	-	9	22917111	22919021	+	1857	protein_coding	Pentatricopeptide repeat domain containing protein	-
Os02g0814300	-	2	34900421	34901249	+	614	protein_coding	Cytochrome c, monohaem domain containing protein	-
